2.000000	2.408566
2.250000	3.476779
2.500000	4.027690
2.750000	4.199241
3.000000	3.680740
3.250000	3.675897
3.500000	3.442863
3.750000	3.520827
4.000000	3.723723
4.250000	3.965844
4.500000	3.904028
4.750000	4.015269
5.000000	4.027272
5.250000	4.088187
5.500000	4.049829
5.750000	4.173664
6.000000	4.216893
6.250000	4.151807
6.500000	4.153521
6.750000	4.257090
7.000000	4.243340
7.250000	2.150516
7.500000	2.071468
7.750000	2.389272
8.000000	2.227334
8.250000	2.094212
8.500000	1.866012
8.750000	1.728323
9.000000	1.692264
9.250000	1.678527
9.500000	1.659864
9.750000	1.654305
10.000000	1.645386
10.250000	1.652923
10.500000	1.632516
10.750000	1.616425
11.000000	1.638758
11.250000	1.639706
11.500000	1.637371
11.750000	1.656771
12.000000	1.641211
12.250000	1.616260
12.500000	1.638447
12.750000	1.643721
13.000000	1.619531
13.250000	1.616119
13.500000	1.579598
13.750000	1.548207
14.000000	1.538106
14.250000	1.554587
14.500000	1.493269
14.750000	1.548143
15.000000	1.508127
15.250000	1.430342
15.500000	1.250764
15.750000	1.148492
16.000000	1.109134
16.250000	1.052537
16.500000	1.076827
16.750000	1.052825
17.000000	1.013777
17.250000	1.015345
17.500000	0.968551
17.750000	0.949923
18.000000	0.904017
18.250000	0.890952
18.500000	0.842545
18.750000	0.685063
19.000000	0.644823
19.250000	0.681042
19.500000	0.566770
19.750000	0.435384
20.000000	0.439387
20.250000	0.349819
20.500000	0.341697
20.750000	0.320019
21.000000	0.260118
21.250000	0.243680
21.500000	0.199922
21.750000	0.177032
22.000000	0.152163
22.250000	0.299332
22.500000	0.265911
